"dataset","key","value"
"bandwidth_sensitivity","gen","2999"
"directional_sweep","gen","2999"
"directional_sweep","alpha","0.05"
"directional_sweep","center","half"
"directional_sweep","alternative","greater"
"divmigrate_compare","generation","2999"
"divmigrate_compare","stat","d"
"divmigrate_compare","generated","2026-06-14 07:46:09.151826"
"divmigrate_timecourse","generations","2004;2054;2104;2154;2204;2254;2304;2354;2404;2454;2504;2554;2604;2654;2704;2754;2804;2854;2904;2954;2999"
"divmigrate_timecourse","stat","d"
"divmigrate_timecourse","generated","2026-06-14 16:43:12.376356"
"fpr_calibration","nperm","499"
"fpr_calibration","n_per_scenario","20"
"boundary_summary","generations","2004;2054;2104;2154;2204;2254;2304;2354;2404;2454;2504;2554;2604;2654;2704;2754;2804;2854;2904;2954;2999"
"boundary_summary","generated","2026-06-15 10:31:33.753012"
