"cond","alternative","n","sign_concord","rho_signed","rho_abs","dbar_pres","scenario"
1,"global",50,0.871535460104218,0.87116137940706,0.728687242299462,0.86,"Isotropic"
1,"scale x0.5",50,0.71179180720898,0.494340076858722,0.293037487136177,0.74,"Isotropic"
1,"scale x2",50,0.836496307207555,0.826852776857352,0.638284422951812,0.86,"Isotropic"
1,"perplexity",50,0.678328961646068,0.265435392428529,0.351646328634547,0.74,"Isotropic"
2,"global",25,0.865268434666528,0.807490176817289,0.632774236833278,0.84,"Flux-conserved"
2,"scale x0.5",25,0.806334401261294,0.768569575089199,0.591584643739461,0.84,"Flux-conserved"
2,"scale x2",25,0.840927157791652,0.817946392411201,0.682600682326183,0.88,"Flux-conserved"
2,"perplexity",25,0.792991905440227,0.658630079597821,0.533148828772211,0.92,"Flux-conserved"
3,"global",45,0.829751303232309,0.691729323308271,0.54635238179542,0.822222222222222,"Rate-conserved"
3,"scale x0.5",45,0.772679389855839,0.549659201557936,0.344715447154472,0.955555555555556,"Rate-conserved"
3,"scale x2",45,0.820145176174773,0.774505781845231,0.618484779225302,0.688888888888889,"Rate-conserved"
3,"perplexity",45,0.718833473740295,0.307558790593505,0.278748870822042,0.911111111111111,"Rate-conserved"
