"Stratum","He","n_poly","pop_index","is_terminus","replicate","scenario","generation"
"Pop01",0.2188675,12,1,TRUE,1,"Isotropic",2004
"Pop02",0.246135,12,2,FALSE,1,"Isotropic",2004
"Pop03",0.234,13,3,FALSE,1,"Isotropic",2004
"Pop04",0.22102,13,4,FALSE,1,"Isotropic",2004
"Pop05",0.2057375,14,5,FALSE,1,"Isotropic",2004
"Pop06",0.216165,13,6,FALSE,1,"Isotropic",2004
"Pop07",0.2174875,15,7,FALSE,1,"Isotropic",2004
"Pop08",0.23803,15,8,FALSE,1,"Isotropic",2004
"Pop09",0.2292375,17,9,FALSE,1,"Isotropic",2004
"Pop10",0.1913675,16,10,FALSE,1,"Isotropic",2004
"Pop11",0.2410975,16,11,FALSE,1,"Isotropic",2004
"Pop12",0.2589575,17,12,FALSE,1,"Isotropic",2004
"Pop13",0.2694425,16,13,FALSE,1,"Isotropic",2004
"Pop14",0.289675,18,14,FALSE,1,"Isotropic",2004
"Pop15",0.2829825,18,15,FALSE,1,"Isotropic",2004
"Pop16",0.259945,18,16,FALSE,1,"Isotropic",2004
"Pop17",0.2870825,18,17,FALSE,1,"Isotropic",2004
"Pop18",0.29327,17,18,FALSE,1,"Isotropic",2004
"Pop19",0.27075,17,19,FALSE,1,"Isotropic",2004
"Pop20",0.2790775,16,20,FALSE,1,"Isotropic",2004
"Pop21",0.2376775,16,21,FALSE,1,"Isotropic",2004
"Pop22",0.19761,15,22,FALSE,1,"Isotropic",2004
"Pop23",0.221005,13,23,FALSE,1,"Isotropic",2004
"Pop24",0.2032975,13,24,FALSE,1,"Isotropic",2004
"Pop25",0.15412,10,25,TRUE,1,"Isotropic",2004
"Pop01",0.1505175,9,1,TRUE,2,"Isotropic",2004
"Pop02",0.166295,9,2,FALSE,2,"Isotropic",2004
"Pop03",0.1399475,11,3,FALSE,2,"Isotropic",2004
"Pop04",0.170635,12,4,FALSE,2,"Isotropic",2004
"Pop05",0.21665,13,5,FALSE,2,"Isotropic",2004
"Pop06",0.232295,14,6,FALSE,2,"Isotropic",2004
"Pop07",0.2485325,15,7,FALSE,2,"Isotropic",2004
"Pop08",0.2559775,14,8,FALSE,2,"Isotropic",2004
"Pop09",0.239375,14,9,FALSE,2,"Isotropic",2004
"Pop10",0.2132425,14,10,FALSE,2,"Isotropic",2004
"Pop11",0.24026,13,11,FALSE,2,"Isotropic",2004
"Pop12",0.21123,12,12,FALSE,2,"Isotropic",2004
"Pop13",0.1838625,12,13,FALSE,2,"Isotropic",2004
"Pop14",0.185615,14,14,FALSE,2,"Isotropic",2004
"Pop15",0.2162825,14,15,FALSE,2,"Isotropic",2004
"Pop16",0.165075,12,16,FALSE,2,"Isotropic",2004
"Pop17",0.1748875,12,17,FALSE,2,"Isotropic",2004
"Pop18",0.181375,12,18,FALSE,2,"Isotropic",2004
"Pop19",0.1743825,12,19,FALSE,2,"Isotropic",2004
