"edge_class","mean_delta","mean_abs","n","replicate","scenario","generation"
"interior",-0.000945115756614181,0.0237802607800822,111,1,"Isotropic",2004
"all",-0.000945115756614181,0.0237802607800822,111,1,"Isotropic",2004
"interior",-0.00479402385953322,0.043582174803461,74,2,"Isotropic",2004
"all",-0.00479402385953322,0.043582174803461,74,2,"Isotropic",2004
"interior",0.00426943389786655,0.0275400298096055,107,3,"Isotropic",2004
"all",0.00426943389786655,0.0275400298096055,107,3,"Isotropic",2004
"interior",0.00757337348964936,0.0267173427049458,108,4,"Isotropic",2004
"all",0.00757337348964936,0.0267173427049458,108,4,"Isotropic",2004
"interior",0.00388529344010393,0.0371869182014999,80,5,"Isotropic",2004
"all",0.00388529344010393,0.0371869182014999,80,5,"Isotropic",2004
"interior",-0.00427857145033623,0.0280018641078512,102,6,"Isotropic",2004
"all",-0.00427857145033623,0.0280018641078512,102,6,"Isotropic",2004
"interior",-0.00318295173322629,0.0365195194574752,85,7,"Isotropic",2004
"all",-0.00318295173322629,0.0365195194574752,85,7,"Isotropic",2004
"interior",0.0011674723281749,0.0386490270667332,89,8,"Isotropic",2004
"all",0.0011674723281749,0.0386490270667332,89,8,"Isotropic",2004
"interior",0.00172701667610375,0.0286623968952486,103,9,"Isotropic",2004
"all",0.00172701667610375,0.0286623968952486,103,9,"Isotropic",2004
"interior",-0.00738426230406037,0.0452120191860548,78,10,"Isotropic",2004
"all",-0.00738426230406037,0.0452120191860548,78,10,"Isotropic",2004
"interior",0.007307509302846,0.0329698188477042,107,11,"Isotropic",2004
"all",0.007307509302846,0.0329698188477042,107,11,"Isotropic",2004
"interior",0.00150487456223017,0.0355068280824881,98,12,"Isotropic",2004
"all",0.00150487456223017,0.0355068280824881,98,12,"Isotropic",2004
"interior",-0.00235010136520263,0.0347371816922215,83,13,"Isotropic",2004
"all",-0.00235010136520263,0.0347371816922215,83,13,"Isotropic",2004
"interior",0.00935197777025455,0.033306115594164,99,14,"Isotropic",2004
"all",0.00935197777025455,0.033306115594164,99,14,"Isotropic",2004
"interior",-0.00209708218424884,0.0378596963491145,91,15,"Isotropic",2004
"all",-0.00209708218424884,0.0378596963491145,91,15,"Isotropic",2004
"interior",-0.0013272866215417,0.0333734908276173,91,16,"Isotropic",2004
"all",-0.0013272866215417,0.0333734908276173,91,16,"Isotropic",2004
"interior",0.00809581936326197,0.0245769674636159,112,17,"Isotropic",2004
"all",0.00809581936326197,0.0245769674636159,112,17,"Isotropic",2004
"interior",0.00145384775361739,0.033092348419022,96,18,"Isotropic",2004
"all",0.00145384775361739,0.033092348419022,96,18,"Isotropic",2004
"interior",-0.00423458318411005,0.0293936823507554,94,19,"Isotropic",2004
"all",-0.00423458318411005,0.0293936823507554,94,19,"Isotropic",2004
"interior",0.00617545607620559,0.0346105882976091,95,20,"Isotropic",2004
"all",0.00617545607620559,0.0346105882976091,95,20,"Isotropic",2004
"interior",-0.00212589091616569,0.0365915448489434,75,21,"Isotropic",2004
"all",-0.00212589091616569,0.0365915448489434,75,21,"Isotropic",2004
"interior",-0.00847182682532853,0.0284966653044758,92,22,"Isotropic",2004
"all",-0.00847182682532853,0.0284966653044758,92,22,"Isotropic",2004
"interior",-0.00721980453611905,0.0334386327133357,100,23,"Isotropic",2004
"all",-0.00721980453611905,0.0334386327133357,100,23,"Isotropic",2004
"interior",0.00377380570860192,0.0370834116025179,88,24,"Isotropic",2004
"all",0.00377380570860192,0.0370834116025179,88,24,"Isotropic",2004
"interior",-0.0039871047725757,0.0306337346099277,103,25,"Isotropic",2004
"all",-0.0039871047725757,0.0306337346099277,103,25,"Isotropic",2004
"interior",0.00250002062610602,0.0297424017155426,108,26,"Isotropic",2004
"all",0.00250002062610602,0.0297424017155426,108,26,"Isotropic",2004
"interior",0.00903646461361613,0.0462976663251707,80,27,"Isotropic",2004
"all",0.00903646461361613,0.0462976663251707,80,27,"Isotropic",2004
"interior",0.00256528167541965,0.0446237296373936,81,28,"Isotropic",2004
"all",0.00256528167541965,0.0446237296373936,81,28,"Isotropic",2004
"interior",-0.00841314542646449,0.036173112817525,103,29,"Isotropic",2004
"all",-0.00841314542646449,0.036173112817525,103,29,"Isotropic",2004
"interior",0.00335896015711802,0.03798066451063,89,30,"Isotropic",2004
"all",0.00335896015711802,0.03798066451063,89,30,"Isotropic",2004
"interior",0.00834564629313999,0.0295082297830915,85,31,"Isotropic",2004
"all",0.00834564629313999,0.0295082297830915,85,31,"Isotropic",2004
"interior",0.00194394833718017,0.0268056512367316,109,32,"Isotropic",2004
"all",0.00194394833718017,0.0268056512367316,109,32,"Isotropic",2004
"interior",0.00532172695325855,0.0296228256032881,97,33,"Isotropic",2004
"all",0.00532172695325855,0.0296228256032881,97,33,"Isotropic",2004
"interior",0.00711038816317942,0.0319690803350173,89,34,"Isotropic",2004
"all",0.00711038816317942,0.0319690803350173,89,34,"Isotropic",2004
"interior",-0.00323194000793244,0.0315362495458874,91,35,"Isotropic",2004
"all",-0.00323194000793244,0.0315362495458874,91,35,"Isotropic",2004
