"cond","replicate","p_value","estimate","n_edges"
1,1,0.999969438479611,-0.0355187427123176,97
1,10,0.999990812835695,-0.0278500561504994,94
1,11,0.37104309886057,0.00215990841980118,129
1,12,0.842568467091798,-0.0035857073116321,103
1,13,0.489026269805393,-0.00415944530742324,87
1,14,0.180950024217385,0.004619664840737,96
1,15,0.799582060807,-0.00437841419231139,87
1,16,0.91519049456747,-0.0116414540315384,99
1,17,0.141798546771543,0.00393499716408274,97
1,18,0.794697348168804,-0.0213079540901535,84
1,19,0.821104490451122,-0.00669444904079419,93
1,2,0.172305543438617,-0.000134991234121751,89
1,20,0.992721185070034,-0.0200650692523518,97
1,21,0.176325436789519,0.0107218307120486,119
1,22,0.547222928110253,-0.000476022285698097,89
1,23,0.120036669398249,0.0073625597762148,95
1,24,0.272423127756152,0.00382668932205515,92
1,25,0.000357995773853528,0.0300080911855104,113
1,26,0.00874195933467583,0.0230802400869458,123
1,27,0.379906720296154,0.00933076832652419,86
1,28,0.0846150866058433,0.0116806704242234,89
1,29,0.608566124850668,-0.00528937703426235,86
1,3,0.531967126050894,0.00468425037060349,113
1,30,0.0084147508277241,0.0197291495124798,88
1,31,0.0701715701035525,0.0120142948127352,96
1,32,0.10020531163852,0.00233661572577704,91
1,33,0.0833314504444232,0.000905213111539904,118
1,34,0.0981879790487987,0.00643716347438145,88
1,35,0.955798105420638,-0.0139712011900628,91
1,36,0.00584795965575647,0.0328331214757382,93
1,37,0.0962838847070761,0.0156624915813165,109
1,38,0.0153015255547085,0.0178484228713965,106
1,39,0.0465198800827135,0.00864476743458714,70
1,4,0.995409814299277,-0.0210818572154925,128
1,40,0.00405615107686752,0.0348176752486121,87
1,41,0.512234575080657,-0.00474548632990557,85
1,42,0.000787608205669326,0.0147864904709459,99
1,43,0.147770293555444,0.0109771721085604,109
1,44,0.431435473521244,0.00530153287043367,103
1,45,0.644552777739547,0.00126979321669252,77
1,46,0.867837456743023,0.00405508299860002,98
1,47,0.0206936400553216,0.0128269426468258,102
1,48,0.91926717533526,-0.0063667002253206,107
1,49,0.0919905838173722,-0.000193565881870444,102
1,5,0.0695407429008086,0.00699916885488872,87
1,50,0.0676776608235611,0.0119526941499899,104
1,6,0.999923860868453,-0.0239328124274867,113
1,7,0.165238059177887,0.0125785857538507,86
1,8,0.16875992143227,0.00142241636199747,88
1,9,0.350388177418592,0.00496088141011231,104
2,1,1.31796907028347e-08,0.148354418330092,102
2,10,1.15920625742821e-16,0.254253221861668,115
2,11,0.962604151548738,-0.0577180697643647,56
2,12,0.000103598481878691,0.325092851117823,81
2,13,1.45750175896576e-06,0.214719576852634,101
2,14,2.66032616230843e-12,0.239880347852896,140
2,15,0.75982770594471,-0.0474602111782055,85
2,16,0.953135385854016,-0.0261963750843273,71
2,17,0.136434433003218,0.115375848673879,78
2,18,3.21504113308567e-18,0.22377549136679,157
2,19,1.86351809499841e-07,0.18904905125806,162
2,2,3.56843328452859e-11,0.32395169818494,104
2,20,0.967331736200563,-0.0619180028780638,64
2,21,1.06828526211646e-08,0.257077676221722,93
2,22,5.05195107553959e-19,0.227634671386839,131
2,23,0.935660641103993,-0.0229591798578657,44
2,24,0.00861320472639982,0.0318552535475791,87
2,25,0.00927568275892554,0.174071916489272,44
2,26,0.94828073467873,-0.0377845789792737,64
2,27,2.28081608162646e-07,0.22825004793302,62
2,28,0.534471502541927,0.0191024026551421,110
2,29,0.411059262499669,0.0543364132798878,128
2,3,2.38430142752745e-06,0.208448542183259,100
2,30,0.285843452889821,0.00829079569481006,38
2,31,0.000547618374734282,0.0402085884035228,137
2,32,0.582533374450997,0.02291275247754,92
2,33,0.853311424285494,0.00112701453009012,38
2,34,9.82928075025927e-07,0.306996869318389,83
2,35,0.999833833223997,-0.0550712479371711,68
2,36,0.577218998695344,0.000760054093784379,42
2,37,0.0661965835228477,0.148056271910118,151
2,38,0.852470111595575,-0.0202858954372005,64
2,39,0.887964369183997,-0.0398234505244345,52
2,4,2.30027131448266e-13,0.250167483196589,139
2,40,0.00244699391326902,0.0683775530228297,87
2,41,0.254916447619119,0.00658051816827471,60
2,42,0.0472792789939831,0.0890699645628392,43
2,43,0.515931235124417,0.00216526692021854,78
2,44,1.68036696761185e-11,0.297962342613559,88
2,45,1.50241420066686e-14,0.210308759423091,94
2,46,0.959045507511745,-0.0426802465899911,54
2,47,1.1478882695127e-07,0.12240615259376,79
2,48,0.780875119853036,-0.0104138877173761,49
2,49,0.00338766159319086,0.104919644870958,53
2,5,0.000101910974610122,0.0659824181147003,74
2,50,0.976307320963869,-0.0330710069240515,48
2,6,8.53698924710489e-10,0.152016734078774,120
2,7,2.55583075666294e-09,0.260830813612443,119
2,8,0.125149443293233,0.0339911134041146,124
2,9,0.26497786628499,0.0230227622055367,78
3,1,0.676057828453182,0.00529977210290478,81
3,10,0.983644085259637,-0.044195199174872,72
3,11,0.999916046168742,-0.0529213977472929,70
3,12,0.999652647766032,-0.0378800579024552,84
3,13,0.999992296169406,-0.0629052465736462,70
3,14,0.999964150938577,-0.0403475492191246,77
3,15,0.999154636206945,-0.0258358604217813,64
3,16,0.999839459062035,-0.0301848557695848,96
3,17,0.511920421829903,0.00645308924566779,78
3,18,0.99822325139683,-0.0358523198725498,91
3,19,0.999998971868631,-0.0847903256284959,61
3,2,0.136942770917114,0.0250276620062366,73
3,20,0.975268269441414,-0.0244995003105599,68
3,21,0.999991084525202,-0.0470643246313475,75
3,22,0.999459240205612,-0.0439521388411398,82
3,23,0.999981354793611,-0.0348328444226561,82
3,24,0.999972348114565,-0.0647489669029088,72
3,25,0.993124134603049,-0.0360762486709277,65
3,26,0.131987412678307,0.0471468736466715,79
3,27,0.999999727299302,-0.0539835860772963,81
3,28,0.994062532229006,-0.026346962293766,74
3,29,0.998565698288935,-0.0354679295097464,63
3,3,0.528028335937446,0.00419172201902562,51
3,30,0.99571916896811,-0.041555608818357,72
3,31,0.999988964186381,-0.0370922501107695,70
3,32,0.999074124820825,-0.0314707404282706,64
3,33,0.997251645709716,-0.043163471171046,62
3,34,0.996413202804229,-0.0215700650376668,94
3,35,0.996130610229163,-0.0247921987656071,95
3,36,0.999993690126749,-0.0442126302976754,79
3,37,0.999916259011579,-0.0420837791311379,67
3,38,0.999598166735956,-0.0506315253399776,68
3,39,0.99770051496873,-0.0115202259878083,82
3,4,0.99999956749924,-0.048902550402593,106
3,40,0.950896587542326,-0.0182398637832559,78
3,41,0.999993352244962,-0.0458134951346594,82
3,42,0.987376186803116,-0.031191912509062,71
3,43,0.999999036263595,-0.0499330597847012,73
3,44,0.944870318155678,-0.00572404828102807,66
3,45,0.999886152971279,-0.0373875677564082,110
3,46,0.99811508873647,-0.0574428126249097,76
3,47,0.999999977689819,-0.0651688149859615,93
3,48,0.999996342418313,-0.0558902972317009,84
3,49,0.999899653043135,-0.0334542527789858,94
3,5,0.98962584757221,-0.0179967186922609,56
3,50,0.999989226361566,-0.0459666238270811,95
3,6,0.999946341256509,-0.0303977918553233,74
3,7,0.990308052203382,-0.0136793118900087,74
3,8,0.911184503479033,-0.0119874739424058,49
3,9,0.996969945314114,-0.0410404234586048,83
