"from","to","delta","A_dm","replicate","scenario"
"Pop01","Pop02",-0.107611563815958,0.167091981145504,1,"Isotropic"
"Pop01","Pop03",-0.0875187568718636,0.316196747477738,1,"Isotropic"
"Pop01","Pop04",-0.0587529014885466,0.197168620764318,1,"Isotropic"
"Pop01","Pop05",-0.0361527544198545,0.409559403202579,1,"Isotropic"
"Pop01","Pop06",0.00357879687293622,0.307198241121827,1,"Isotropic"
"Pop01","Pop07",0.0128969582399355,0.0899850623841175,1,"Isotropic"
"Pop01","Pop08",-0.00519433110352326,0.190375508095863,1,"Isotropic"
"Pop01","Pop09",-0.00802466491958166,0.0853166253618861,1,"Isotropic"
"Pop01","Pop10",0.0127427902370609,0.045452126504244,1,"Isotropic"
"Pop01","Pop12",-0.023735346286604,0.0286689225525294,1,"Isotropic"
"Pop01","Pop14",-0.0167375538872794,0.0250381210144542,1,"Isotropic"
"Pop01","Pop25",-0.0547980424108225,0.0158181277837627,1,"Isotropic"
"Pop02","Pop03",0.0128019482283521,0.344859045827092,1,"Isotropic"
"Pop02","Pop04",0.0377135572980707,-0.011508362771066,1,"Isotropic"
"Pop02","Pop05",0.0545011026189517,0.0176814414069492,1,"Isotropic"
"Pop02","Pop16",-0.0281291501484386,0.0116270058400615,1,"Isotropic"
"Pop02","Pop19",-0.00806406735996369,0.0248937622881206,1,"Isotropic"
"Pop03","Pop04",0.00482668510102791,-0.0477393796466262,1,"Isotropic"
"Pop03","Pop05",0.00861273461873988,-0.0203309813148566,1,"Isotropic"
"Pop03","Pop06",0.0100677660877804,0.0255388370100588,1,"Isotropic"
"Pop03","Pop08",-0.0375905597153733,-0.00394690700622837,1,"Isotropic"
"Pop04","Pop05",0.019138817946205,0.0526899622392443,1,"Isotropic"
"Pop04","Pop07",0.0229225085209797,-0.00360053845454312,1,"Isotropic"
"Pop04","Pop08",-0.00776214111103644,-0.00354839718172403,1,"Isotropic"
"Pop04","Pop09",-0.0137029224000242,-0.0213325146828012,1,"Isotropic"
"Pop05","Pop06",0.0292841535503919,0.0548669859376069,1,"Isotropic"
"Pop05","Pop07",0.0333073218510668,-0.0044979039225824,1,"Isotropic"
"Pop05","Pop16",-0.0547051691840137,0.0154871473180388,1,"Isotropic"
"Pop05","Pop19",-0.0302089294244928,0.022216192863832,1,"Isotropic"
"Pop06","Pop07",0.0123686103371024,-0.0643992621393253,1,"Isotropic"
"Pop06","Pop08",-0.0202394919769656,-0.0931873175126708,1,"Isotropic"
"Pop06","Pop09",-0.0200993152648646,-0.163990176779702,1,"Isotropic"
"Pop06","Pop10",-0.0181264346110675,-0.0589671555435818,1,"Isotropic"
"Pop06","Pop12",-0.0426875154049244,-0.0139817808186288,1,"Isotropic"
"Pop06","Pop18",-0.0263545246838056,0.0469255715228733,1,"Isotropic"
"Pop06","Pop19",-0.0388005704616887,0.0339851639483032,1,"Isotropic"
"Pop07","Pop08",-0.0294328704557684,-0.00225701386792365,1,"Isotropic"
"Pop07","Pop09",-0.0309303605885534,-0.128477477979438,1,"Isotropic"
"Pop07","Pop10",-0.0370912113773009,-0.0314933703417073,1,"Isotropic"
"Pop07","Pop11",-0.0482617780046573,0.0381177156928398,1,"Isotropic"
"Pop07","Pop12",-0.0439656191112302,0.0121796798005084,1,"Isotropic"
"Pop07","Pop15",-0.0431702568331201,0.0285817262205786,1,"Isotropic"
"Pop07","Pop21",-0.0227457850991012,0.0092656498078255,1,"Isotropic"
"Pop08","Pop09",0.000794534857361334,-0.0561214237154909,1,"Isotropic"
"Pop08","Pop10",-0.00351672529433045,-0.0279377863285695,1,"Isotropic"
"Pop08","Pop19",-0.0224388457164445,0.0858555557788734,1,"Isotropic"
"Pop08","Pop21",-0.0112735900555638,0.0259261747343197,1,"Isotropic"
"Pop09","Pop10",-0.00569157575678614,0.049246068995221,1,"Isotropic"
"Pop09","Pop11",-0.0237184247443104,0.177110914274897,1,"Isotropic"
"Pop09","Pop16",-0.0469075358586926,0.03289974943179,1,"Isotropic"
"Pop09","Pop24",-0.0189974093982458,0.0176105188452633,1,"Isotropic"
"Pop10","Pop11",-0.0442120120097365,0.0501498829927342,1,"Isotropic"
"Pop10","Pop12",-0.0321000433226575,0.0536350143205856,1,"Isotropic"
"Pop10","Pop13",-0.0567002293566838,0.199463694301923,1,"Isotropic"
"Pop11","Pop12",0.0500210524762199,0.0468562678434633,1,"Isotropic"
