"replicate","scenario","mean_delta","mean_A_dm","mean_abs_delta","mean_abs_A_dm","rho"
1,"Isotropic",-0.0124518669467178,0.0241047986926818,0.0326477452126856,0.0660098109549455,-0.112336945087313
1,"Redistributed",0.0749102526788594,NA,0.0912001521484592,NA,NA
1,"Obstructed",-0.0027849766167435,0.00127567522232713,0.0448969216344704,0.00144835504103271,-0.0182926829268293
2,"Isotropic",0.00305427886663763,0.000601758343068968,0.0388147668126124,0.0485634606424576,0.0891726251276813
2,"Redistributed",0.120986947537631,NA,0.145564445751845,NA,NA
2,"Obstructed",0.0526970432891365,NA,0.10733250378773,NA,NA
3,"Isotropic",-0.00034384973279784,0.0127501958880732,0.0295124086308617,0.0502400574130192,0.12345299088429
3,"Redistributed",0.0809072474714467,NA,0.120886458298035,NA,NA
3,"Obstructed",0.084401523211975,-257719707087.245,0.147901378863212,257719707087.255,-0.275141627011104
4,"Isotropic",-0.00346118765999575,0.0187675323098338,0.0298651261359166,0.0826708794424492,0.0432555850576817
4,"Redistributed",0.077114674439509,NA,0.0910218748410718,NA,NA
4,"Obstructed",-0.024858536022713,0.00329527922992745,0.0429138591239373,0.00457397091886939,0.190356953925989
5,"Isotropic",0.0084969593040458,-0.0203553646103596,0.0311943247362144,0.0798487065752978,0.283753736239703
5,"Redistributed",0.0861995838976329,NA,0.135767717307746,NA,NA
5,"Obstructed",-0.0333483801957621,8.49233786997679e-05,0.0800063884199713,0.000285109583434406,0.0760765550239235
6,"Isotropic",-0.00904068887450571,0.0111855618164331,0.0281112835559496,0.0130589897381863,0.14402987557389
6,"Redistributed",0.0537124495643715,NA,0.0803974537278328,NA,NA
6,"Obstructed",-0.0226051189313804,0.000504256393939555,0.0560459464272908,0.00280240432068937,-0.196031099592743
7,"Isotropic",-0.000102287567064545,0.000222838356374394,0.0401077124850674,0.021238768991101,0.00176423416198877
7,"Redistributed",0.0790591792151998,NA,0.0989846575779894,NA,NA
7,"Obstructed",-0.00415638483504414,NA,0.0667700220060163,NA,NA
8,"Isotropic",0.00143424482585746,-0.0347037843080364,0.0282320106683497,0.0758190672142977,-0.245746891620584
8,"Redistributed",0.0387123382596887,NA,0.0812142297430007,NA,NA
8,"Obstructed",0.0576339347076233,NA,0.125578246652873,NA,NA
9,"Isotropic",0.000478198444786656,-0.0134832243034266,0.0281368159462912,0.0860980932932699,0.0943454603648778
9,"Redistributed",0.0575752434364956,NA,0.110270871804182,NA,NA
9,"Obstructed",-0.0165267701258591,0.0111756485499953,0.054861272451794,0.0252316183798922,0.158830443726124
10,"Isotropic",-0.0148594720624418,0.0237428777345433,0.031276353871484,0.0249059771416104,0.214666040530289
10,"Redistributed",0.109477130020016,NA,0.119926079990964,NA,NA
10,"Obstructed",0.0783250398506925,NA,0.135989725926254,NA,NA
11,"Isotropic",-0.00123362927223589,0.0638598056734881,0.0198991280623294,0.0781059594663561,-0.0649485688729875
11,"Redistributed",0.000118472104362758,NA,0.147900181190079,NA,NA
11,"Obstructed",-0.0285613551462474,NA,0.0821306638321735,NA,NA
12,"Isotropic",-0.00420019914693323,-0.00681453104740427,0.0306933038922351,0.0426902803960585,-0.0203729736853666
12,"Redistributed",0.123230987998984,NA,0.176733015681185,NA,NA
12,"Obstructed",-0.013447688268723,0.00769364788890482,0.0542157413965,0.00833735307566238,0.155836792548345
13,"Isotropic",-0.00230062609673994,-0.00934542007719699,0.0243392949375477,0.0722203007545097,-0.128563096887074
13,"Redistributed",0.0535585843767504,NA,0.0932206124060037,NA,NA
13,"Obstructed",-0.0370839247965494,NA,0.0702575249910004,NA,NA
14,"Isotropic",0.00309466866299328,-0.0385382583404898,0.03607329244098,0.0681727968531323,-0.00345903418339664
14,"Redistributed",0.0744851329372907,NA,0.0916514154718719,NA,NA
14,"Obstructed",-0.0332071467006491,0.0346947625360955,0.0577662375415429,0.045379855228281,0.499947421000053
15,"Isotropic",-0.00460704947666392,0.000870877422481508,0.0413899485346121,0.0899229905758179,0.293085222716337
15,"Redistributed",0.0127743609116624,NA,0.102209659081481,NA,NA
15,"Obstructed",-0.0238477117911278,0.0158661343047615,0.0465162504771583,0.0170732893781138,-0.189010989010989
16,"Isotropic",-0.00133267175279539,-0.00159688061368302,0.0426722913820847,0.0751449527020371,0.137439703153989
16,"Redistributed",0.0140599138680999,NA,0.0926953430212937,NA,NA
16,"Obstructed",-0.0149039860682254,0.0029939246658284,0.0347944694255715,0.00737036538763088,-0.37319587628866
17,"Isotropic",0.00531479422272116,0.0012342868412887,0.0346507485736368,0.0423421095743268,0.187105512308016
17,"Redistributed",0.0493728803418992,NA,0.116669101548708,NA,NA
17,"Obstructed",0.00221262093964488,NA,0.0393478802757769,NA,NA
18,"Isotropic",-0.00174942035057479,-0.00441896541486919,0.0363805686367509,0.0270260024909451,0.116472613141642
18,"Redistributed",0.0667176829669529,NA,0.0739672441942547,NA,NA
18,"Obstructed",0.0211910502400557,NA,0.0853503134969515,NA,NA
19,"Isotropic",-0.00165412573718085,0.018942755697649,0.030636441556192,0.0572477051071815,-0.289352749843335
19,"Redistributed",0.0449466061797678,NA,0.0633527442854162,NA,NA
19,"Obstructed",-0.0497825390169434,NA,0.0812996265217735,NA,NA
20,"Isotropic",-0.00915659285874644,0.0519487969340405,0.0287950509967206,0.076669202257191,0.11405954134231
20,"Redistributed",0.0310345588586623,NA,0.135403333373505,NA,NA
20,"Obstructed",-0.00973360627880036,NA,0.0654359852436554,NA,NA
21,"Isotropic",-8.18076540184325e-05,0.0201674768070246,0.027450450882668,0.0768642594974911,0.196190001424299
21,"Redistributed",0.0974387299372806,NA,0.140756836333039,NA,NA
21,"Obstructed",-0.0308850522317906,NA,0.0701124497367571,NA,NA
22,"Isotropic",0.00010030184566058,0.0187911237916722,0.0293909782422093,0.0277699976115136,0.0422199523323119
22,"Redistributed",0.0803161793014775,NA,0.0928643567079241,NA,NA
22,"Obstructed",-0.0220505213331181,0.0252980201368106,0.0535424418927959,0.0275960956469117,-0.300355895125216
23,"Isotropic",0.00323518667503146,-0.017527148955949,0.0306648355323695,0.0427320234841042,0.0163213885778275
23,"Redistributed",-0.0196462543976223,0.00384493386575763,0.0894035934339202,0.00475062605802298,-0.0425651867512333
23,"Obstructed",-0.0276092591193307,0.0511644545298012,0.0482029709440725,0.0593652023882008,0.433571685114442
24,"Isotropic",0.00381177362728939,0.0203902858636267,0.0308051870725821,0.0573978923181937,0.205076830602777
24,"Redistributed",0.0490586695320554,NA,0.092583243974957,NA,NA
24,"Obstructed",-0.0215678885356033,-0.000885438444034437,0.0566953453677112,0.00482535198305154,-0.0366261495916136
25,"Isotropic",0.00738336558838058,-0.0315911365253575,0.0294874894729584,0.0606772775197568,0.0253094018231419
25,"Redistributed",0.175055023468902,NA,0.27591620863643,NA,NA
25,"Obstructed",-0.0100490931336316,-1615637560.71182,0.0614126337516421,1615637560.7128,-0.130075615192972
26,"Isotropic",0.00867046819917357,0.00397874552831499,0.0283171494767021,0.0565277494533339,0.114489687995769
26,"Redistributed",-0.00396108191743793,NA,0.0919948958085911,NA,NA
26,"Obstructed",0.0134308267367026,NA,0.0800117642777129,NA,NA
27,"Isotropic",-0.00123128360623745,0.019261973553388,0.0335363618418355,0.085455635482924,0.0483890749563659
27,"Redistributed",0.161159816551008,NA,0.21091254478517,NA,NA
27,"Obstructed",-0.0336219894988784,NA,0.0507497165816476,NA,NA
28,"Isotropic",0.00188299423625318,-0.0326954195794368,0.0324753615416484,0.0690093930758271,0.0467994552264215
28,"Redistributed",0.0182387532361593,NA,0.0792455467561905,NA,NA
28,"Obstructed",-0.0302202045132455,0.00426579269313675,0.0705513889918787,0.00436161254534237,0.115794150314698
29,"Isotropic",0.00151090206100183,-0.00994014470241724,0.0330132113419505,0.0380350073535041,0.472352469456106
