"replicate","scenario","generation","method","Excluded","Exclusion","rho_all","rmse_all","mae_all","rho_corr","rmse_corr","mae_corr","auc_corr"
1,"Isotropic",2004,"divMigrate",FALSE,"",0.457196330057022,0.227758540637579,0.0984220063493427,NA,0.785399844951895,0.771605454709897,0.986488526570048
1,"Isotropic",2004,"gravity",FALSE,"",0.5259750636956,0.293813589901643,0.167990595269299,NA,0.256054652286449,0.235956667076207,0.98467693236715
1,"Isotropic",2009,"divMigrate",FALSE,"",0.460033855767228,0.19643696676015,0.118838851446325,NA,0.5999295080257,0.568535213593584,0.989507850241546
1,"Isotropic",2009,"gravity",FALSE,"",0.526220808157691,0.288792060691917,0.165588292068566,NA,0.262880842703194,0.241964062882069,0.984903381642512
1,"Isotropic",2014,"divMigrate",FALSE,"",0.459891979481718,0.196284182027861,0.119069807945001,NA,0.59675922002561,0.572268142177281,0.989356884057971
1,"Isotropic",2014,"gravity",FALSE,"",0.547163526344136,0.253731553608194,0.136901049152665,NA,0.311942742221724,0.294442071489132,0.982072765700483
1,"Isotropic",2019,"divMigrate",FALSE,"",0.450492675566659,0.202961326688101,0.121511512282772,NA,0.620935015396471,0.587097476206063,0.979355374396135
1,"Isotropic",2019,"gravity",FALSE,"",0.503020046661714,0.306355185197796,0.185531084658849,NA,0.271590693988318,0.245098374964163,0.977128623188406
1,"Isotropic",2024,"divMigrate",FALSE,"",0.451272995136966,0.198167598437074,0.122350084593361,NA,0.581680483512973,0.545028972913112,0.980185688405797
1,"Isotropic",2024,"gravity",FALSE,"",0.536721214615047,0.278582128658564,0.152472774024454,NA,0.26187886286049,0.237641257634821,0.982072765700483
1,"Isotropic",2029,"divMigrate",FALSE,"",0.450208922995638,0.200778811015561,0.125342858879893,NA,0.579137920117123,0.531353537589314,0.979053442028985
1,"Isotropic",2029,"gravity",FALSE,"",0.509399831428597,0.290362822606044,0.167018245539002,NA,0.285684985931125,0.254971669022597,0.970637077294686
1,"Isotropic",2034,"divMigrate",FALSE,"",0.447442335428187,0.208776000745778,0.141564590817994,NA,0.535398969965154,0.504834367458741,0.976109601449275
1,"Isotropic",2034,"gravity",FALSE,"",0.516426036000026,0.296240359078578,0.171345762216894,NA,0.274363240995569,0.258303376515151,0.977128623188406
1,"Isotropic",2039,"divMigrate",FALSE,"",0.456770701200491,0.198113449612316,0.12385365864591,NA,0.583859801972888,0.549757537128739,0.986035628019324
1,"Isotropic",2039,"gravity",FALSE,"",0.508518769841437,0.300883299885565,0.184399874474142,NA,0.274635605579503,0.261850030611213,0.983393719806763
1,"Isotropic",2044,"divMigrate",FALSE,"",0.458650561983503,0.200157542626143,0.126509326980432,NA,0.587846451564272,0.565167856197304,0.988035929951691
1,"Isotropic",2044,"gravity",FALSE,"",0.519754815214678,0.309127229407224,0.182473792183749,NA,0.217638270107036,0.202599058247402,0.988564311594203
1,"Isotropic",2049,"divMigrate",FALSE,"",0.455671159987786,0.197690040329939,0.127319529647601,NA,0.560982037483895,0.525237404717887,0.984865640096618
1,"Isotropic",2049,"gravity",FALSE,"",0.50698212316116,0.287595345289998,0.175066058126451,NA,0.312926006740748,0.293176401220146,0.978751509661836
1,"Isotropic",2054,"divMigrate",FALSE,"",0.455103654845744,0.225886057655493,0.100467091427941,NA,0.772956797980548,0.756965437758142,0.984261775362319
1,"Isotropic",2054,"gravity",FALSE,"",0.549519589441993,0.252662936576064,0.135821344690578,NA,0.302474283794522,0.284423209437582,0.984148550724638
1,"Isotropic",2059,"divMigrate",FALSE,"",0.452869103348957,0.200033052044524,0.122655652718476,NA,0.588629261701255,0.556053795734882,0.981884057971015
1,"Isotropic",2059,"gravity",FALSE,"",0.52440572435538,0.282303287666674,0.159592145697479,NA,0.266135229296334,0.244695634123334,0.979317632850242
1,"Isotropic",2064,"divMigrate",FALSE,"",0.456806170271868,0.207311319894814,0.114224698404649,NA,0.664516070705906,0.639801340154765,0.986073369565217
1,"Isotropic",2064,"gravity",FALSE,"",0.512687462290975,0.283082616153538,0.168775305336785,NA,0.286018636801535,0.268388903741075,0.980789553140097
1,"Isotropic",2069,"divMigrate",FALSE,"",0.452514412635181,0.201245153612565,0.111998572593805,NA,0.640000772989234,0.596501831915522,0.981506642512077
