"Scenario","replicate","generation","n_edges","CD","diameter","mean_delta","mean_abs_delta","sd_delta","n_pendant","n_poly_global","n_poly_pop","He","sumAe_total","sumAe_within"
"Isotropic",1,2004,111,0.37,11.2398010046225,-0.000945115756614181,0.0237802607800822,0.0346525742451721,0,18,15.12,0.2385615,30.9421651931977,28.039120895219
"Isotropic",1,2009,111,0.37,12.4574230184377,-0.00459888985114042,0.0325137025841074,0.0436516081246045,0,18,14.84,0.234043,30.8576058404145,27.8689192097319
"Isotropic",1,2014,96,0.32,12.2190459172754,-0.00127207833703384,0.0399049770389373,0.0559223250603662,0,18,14.96,0.240299,31.0088630885886,28.1614354735353
"Isotropic",1,2019,123,0.41,12.094189286556,0.00251408626916095,0.0283585405743029,0.0382315921995345,0,18,15.08,0.2428683,31.2759412673341,28.2551717482187
"Isotropic",1,2024,102,0.34,12.0118683531646,-0.00299413042389151,0.0292518708051222,0.0370145578835634,0,18,15.16,0.2462992,31.452391331821,28.4400205241664
"Isotropic",1,2029,112,0.373333333333333,10.961993806145,0.00227516759212543,0.0345361096419427,0.0457970737572827,0,18,15.04,0.2456672,31.3044268773399,28.353543567236
"Isotropic",1,2034,112,0.373333333333333,14.014226743773,0.0050734292452593,0.0276508942183036,0.0349710604677346,0,18,15.04,0.2452237,31.3301371417906,28.3392721038373
"Isotropic",1,2039,124,0.413333333333333,12.6855296718507,0.00225764410194421,0.0243019745770637,0.0317194974105997,0,18,14.92,0.2447621,31.3651089898967,28.2848655013558
"Isotropic",1,2044,119,0.396666666666667,12.5396332062784,0.00057142164478334,0.0217127873893618,0.0288694409992167,0,18,15,0.2443404,31.3789279284642,28.304277252045
"Isotropic",1,2049,121,0.403333333333333,13.1346110019529,0.000615969546059636,0.028314626351891,0.0362983743065151,0,18,14.84,0.2406175,31.2544256596127,28.1205500242788
"Isotropic",1,2054,96,0.32,12.7993175564788,0.00255846165901412,0.0289184099218879,0.0388226902593096,0,18,15,0.2409375,31.423133085389,28.0969785398738
"Isotropic",1,2059,108,0.36,15.0498128851978,0.00245713983113273,0.0334663052505734,0.0479872302692208,0,18,15.2,0.2422407,31.5065607957491,28.1181263351165
"Isotropic",1,2064,118,0.393333333333333,11.9503702492056,0.00114217061296289,0.0230985537424391,0.0322438213090391,0,18,14.8,0.2431808,31.6135237165243,28.1818254369535
"Isotropic",1,2069,105,0.35,13.0379072404421,0.00232630208491319,0.0343002140697977,0.043506827286774,0,18,14.88,0.2441519,31.7774528017537,28.2697022594568
"Isotropic",1,2074,106,0.353333333333333,14.5117959462551,0.00369124912228518,0.0288857604575061,0.03598334776411,0,18,15.04,0.2500796,32.0219329745338,28.5213857616811
"Isotropic",1,2079,121,0.403333333333333,13.3945036338336,-0.00197373972477242,0.0199825379897952,0.026050385920804,0,18,15.12,0.2493046,32.0448888433009,28.4689838783364
"Isotropic",1,2084,108,0.36,12.8882133443917,-0.000655521776854532,0.0294000489025814,0.0392701873879151,0,18,15.04,0.2509729,32.0252869192407,28.5885429773517
"Isotropic",1,2089,107,0.356666666666667,14.7849317851279,-0.00149216271931047,0.0305078823965654,0.0399896282242022,0,18,14.64,0.2443132,32.0117177396664,28.3210407911515
"Isotropic",1,2094,106,0.353333333333333,12.8951587488844,0.00390595568538784,0.0305697002735658,0.0395017872052401,0,18,14.6,0.241463,31.9536994771222,28.1458605748487
"Isotropic",1,2099,100,0.333333333333333,15.5936902480393,-0.000808322295429317,0.0369446428192467,0.0466441200678182,0,18,14.56,0.2347871,31.6482524327051,27.8456111375833
"Isotropic",1,2104,86,0.286666666666667,15.1024996444687,-0.002287699096778,0.0353231963174478,0.0434898106998979,0,18,14.52,0.2343861,31.843300956962,27.8324888074684
"Isotropic",1,2109,90,0.3,15.7914932236007,0.000279777672490082,0.0334634943809044,0.044106504512715,0,18,14.6,0.2335312,31.7443236617262,27.8158317870232
"Isotropic",1,2114,91,0.303333333333333,15.6006597329828,0.0046953855717584,0.0363109964672377,0.0446731222801744,0,18,14.64,0.2343464,31.9510874523559,27.9266624060642
"Isotropic",1,2119,96,0.32,14.8285170714479,-0.00480537465339418,0.0364342098023107,0.0483838283077247,0,18,14.52,0.2332463,31.720984220497,27.8526636936166
"Isotropic",1,2124,92,0.306666666666667,13.054094942851,0.00415107235123986,0.0328545383005818,0.048527074291997,0,18,14.4,0.2353525,31.6752320853648,28.0007723159741
"Isotropic",1,2129,95,0.316666666666667,14.5058967933892,0.00685256403520788,0.0326487950370506,0.0424002186087308,0,18,14.52,0.2360577,31.9005814924161,28.0027236785125
"Isotropic",1,2134,100,0.333333333333333,15.944697354537,0.00603581192861235,0.0282852193646963,0.0417450996753166,0,18,14.68,0.2357032,31.926086069888,27.9358765116767
