"alpha","fpr","fpr_int","fpr_bw","n_edges","n_edges_int","mean_cGD","median_cGD","cond","replicate","generation"
0.01,0.0630630630630631,0.0630630630630631,0,111,111,4.05982081415283,3.7449806120663,1,1,2004
0.05,0.117117117117117,0.117117117117117,0.00900900900900901,111,111,4.05982081415283,3.7449806120663,1,1,2004
0.1,0.189189189189189,0.189189189189189,0.045045045045045,111,111,4.05982081415283,3.7449806120663,1,1,2004
0.01,0.032520325203252,0.032520325203252,0,123,123,4.12780850678744,3.92863474178026,1,1,2334
0.05,0.0975609756097561,0.0975609756097561,0.00813008130081301,123,123,4.12780850678744,3.92863474178026,1,1,2334
0.1,0.16260162601626,0.16260162601626,0.040650406504065,123,123,4.12780850678744,3.92863474178026,1,1,2334
0.01,0.040650406504065,0.040650406504065,0,123,123,3.89578349333721,3.47187080049605,1,1,2669
0.05,0.16260162601626,0.16260162601626,0.00813008130081301,123,123,3.89578349333721,3.47187080049605,1,1,2669
0.1,0.211382113821138,0.211382113821138,0.040650406504065,123,123,3.89578349333721,3.47187080049605,1,1,2669
0.01,0.0309278350515464,0.0309278350515464,0,97,97,3.7505062159922,3.27357236402574,1,1,2999
0.05,0.0927835051546392,0.0927835051546392,0.0206185567010309,97,97,3.7505062159922,3.27357236402574,1,1,2999
0.1,0.11340206185567,0.11340206185567,0.0618556701030928,97,97,3.7505062159922,3.27357236402574,1,1,2999
0.01,0.027027027027027,0.027027027027027,0,74,74,3.54445479366453,3.07477378197045,1,2,2004
0.05,0.0540540540540541,0.0540540540540541,0.0135135135135135,74,74,3.54445479366453,3.07477378197045,1,2,2004
0.1,0.121621621621622,0.121621621621622,0.0675675675675676,74,74,3.54445479366453,3.07477378197045,1,2,2004
0.01,0,0,0,92,92,3.93992621599695,3.33428474725355,1,2,2334
0.05,0,0,0,92,92,3.93992621599695,3.33428474725355,1,2,2334
0.1,0.0217391304347826,0.0217391304347826,0.0108695652173913,92,92,3.93992621599695,3.33428474725355,1,2,2334
0.01,0.0319148936170213,0.0319148936170213,0,94,94,3.36465023267805,2.98528687043452,1,2,2669
0.05,0.0425531914893617,0.0425531914893617,0,94,94,3.36465023267805,2.98528687043452,1,2,2669
0.1,0.074468085106383,0.074468085106383,0.0319148936170213,94,94,3.36465023267805,2.98528687043452,1,2,2669
0.01,0,0,0.0112359550561798,89,89,3.27081746578797,2.97221498155214,1,2,2999
0.05,0.0786516853932584,0.0786516853932584,0.0224719101123595,89,89,3.27081746578797,2.97221498155214,1,2,2999
0.1,0.134831460674157,0.134831460674157,0.0337078651685393,89,89,3.27081746578797,2.97221498155214,1,2,2999
0.01,0.0186915887850467,0.0186915887850467,0,107,107,3.95578155245565,3.65276830873224,1,3,2004
0.05,0.0560747663551402,0.0560747663551402,0.0280373831775701,107,107,3.95578155245565,3.65276830873224,1,3,2004
0.1,0.102803738317757,0.102803738317757,0.0654205607476635,107,107,3.95578155245565,3.65276830873224,1,3,2004
0.01,0,0,0,110,110,3.93440816757047,3.90450790413117,1,3,2334
0.05,0.00909090909090909,0.00909090909090909,0.00909090909090909,110,110,3.93440816757047,3.90450790413117,1,3,2334
0.1,0.0181818181818182,0.0181818181818182,0.00909090909090909,110,110,3.93440816757047,3.90450790413117,1,3,2334
0.01,0.0416666666666667,0.0416666666666667,0,96,96,3.81862536524868,3.61027127249888,1,3,2669
0.05,0.0729166666666667,0.0729166666666667,0.03125,96,96,3.81862536524868,3.61027127249888,1,3,2669
0.1,0.104166666666667,0.104166666666667,0.0520833333333333,96,96,3.81862536524868,3.61027127249888,1,3,2669
0.01,0.0619469026548673,0.0619469026548673,0,113,113,4.07838315010136,4.02642399720805,1,3,2999
0.05,0.123893805309735,0.123893805309735,0.0353982300884956,113,113,4.07838315010136,4.02642399720805,1,3,2999
0.1,0.15929203539823,0.15929203539823,0.0619469026548673,113,113,4.07838315010136,4.02642399720805,1,3,2999
0.01,0.0277777777777778,0.0277777777777778,0,108,108,4.04722550586856,3.73437016930015,1,4,2004
0.05,0.0740740740740741,0.0740740740740741,0.0185185185185185,108,108,4.04722550586856,3.73437016930015,1,4,2004
0.1,0.0833333333333333,0.0833333333333333,0.0648148148148148,108,108,4.04722550586856,3.73437016930015,1,4,2004
0.01,0.0241935483870968,0.0241935483870968,0,124,124,4.16565380520812,4.28261497194001,1,4,2334
0.05,0.0564516129032258,0.0564516129032258,0.00806451612903226,124,124,4.16565380520812,4.28261497194001,1,4,2334
0.1,0.120967741935484,0.120967741935484,0.0483870967741935,124,124,4.16565380520812,4.28261497194001,1,4,2334
0.01,0.0441176470588235,0.0441176470588235,0,136,136,3.63771064346967,3.70951191451601,1,4,2669
0.05,0.125,0.125,0.0147058823529412,136,136,3.63771064346967,3.70951191451601,1,4,2669
0.1,0.183823529411765,0.183823529411765,0.0441176470588235,136,136,3.63771064346967,3.70951191451601,1,4,2669
0.01,0.0390625,0.0390625,0.015625,128,128,3.42119745269171,3.46905338541077,1,4,2999
0.05,0.0703125,0.0703125,0.0234375,128,128,3.42119745269171,3.46905338541077,1,4,2999
0.1,0.1171875,0.1171875,0.0546875,128,128,3.42119745269171,3.46905338541077,1,4,2999
0.01,0.05,0.05,0,80,80,4.30015875988933,3.77509169240847,1,5,2004
0.05,0.1,0.1,0,80,80,4.30015875988933,3.77509169240847,1,5,2004
0.1,0.15,0.15,0.0375,80,80,4.30015875988933,3.77509169240847,1,5,2004
0.01,0.0967741935483871,0.0967741935483871,0,93,93,4.01327891288382,3.40794493532512,1,5,2334
0.05,0.236559139784946,0.236559139784946,0.032258064516129,93,93,4.01327891288382,3.40794493532512,1,5,2334
0.1,0.301075268817204,0.301075268817204,0.0752688172043011,93,93,4.01327891288382,3.40794493532512,1,5,2334
0.01,0.0759493670886076,0.0759493670886076,0,79,79,4.0156663557362,3.59959290938611,1,5,2669
0.05,0.113924050632911,0.113924050632911,0.0379746835443038,79,79,4.0156663557362,3.59959290938611,1,5,2669
0.1,0.139240506329114,0.139240506329114,0.113924050632911,79,79,4.0156663557362,3.59959290938611,1,5,2669
0.01,0.0114942528735632,0.0114942528735632,0,87,87,4.27562672995225,4.0189371780232,1,5,2999
0.05,0.0804597701149425,0.0804597701149425,0.0344827586206897,87,87,4.27562672995225,4.0189371780232,1,5,2999
0.1,0.137931034482759,0.137931034482759,0.0459770114942529,87,87,4.27562672995225,4.0189371780232,1,5,2999
0.01,0,0,0,129,129,4.1067103975319,4.04178444509764,4,1,2004
0.05,0.0697674418604651,0.0697674418604651,0.0232558139534884,129,129,4.1067103975319,4.04178444509764,4,1,2004
0.1,0.10077519379845,0.10077519379845,0.0775193798449612,129,129,4.1067103975319,4.04178444509764,4,1,2004
0.01,0.0267857142857143,0.0267857142857143,0,112,112,5.67032028855517,6.0074708436701,4,1,2334
0.05,0.0357142857142857,0.0357142857142857,0.0178571428571429,112,112,5.67032028855517,6.0074708436701,4,1,2334
0.1,0.0535714285714286,0.0535714285714286,0.0357142857142857,112,112,5.67032028855517,6.0074708436701,4,1,2334
0.01,0.00869565217391304,0.00869565217391304,0,115,115,5.76231091193059,5.83906158372591,4,1,2669
0.05,0.0695652173913043,0.0695652173913043,0,115,115,5.76231091193059,5.83906158372591,4,1,2669
0.1,0.0956521739130435,0.0956521739130435,0.0173913043478261,115,115,5.76231091193059,5.83906158372591,4,1,2669
0.01,0.032967032967033,0.032967032967033,0,91,91,5.41289441023231,5.00813130947381,4,1,2999
0.05,0.0879120879120879,0.0879120879120879,0,91,91,5.41289441023231,5.00813130947381,4,1,2999
0.1,0.0989010989010989,0.0989010989010989,0.010989010989011,91,91,5.41289441023231,5.00813130947381,4,1,2999
0.01,0,0,0,95,95,4.16297346869715,3.85647403622332,4,2,2004
0.05,0.0105263157894737,0.0105263157894737,0.0105263157894737,95,95,4.16297346869715,3.85647403622332,4,2,2004
0.1,0.0210526315789474,0.0210526315789474,0.0105263157894737,95,95,4.16297346869715,3.85647403622332,4,2,2004
0.01,0.0232558139534884,0.0232558139534884,0,86,86,5.72100989583581,5.38848089689472,4,2,2334
0.05,0.0930232558139535,0.0930232558139535,0,86,86,5.72100989583581,5.38848089689472,4,2,2334
0.1,0.151162790697674,0.151162790697674,0.0116279069767442,86,86,5.72100989583581,5.38848089689472,4,2,2334
0.01,0,0,0,103,103,5.46022017744504,5.29163728858845,4,2,2669
0.05,0.029126213592233,0.029126213592233,0.0194174757281553,103,103,5.46022017744504,5.29163728858845,4,2,2669
0.1,0.0970873786407767,0.0970873786407767,0.087378640776699,103,103,5.46022017744504,5.29163728858845,4,2,2669
0.01,0.0198019801980198,0.0198019801980198,0,101,101,4.75472294463744,4.77022628561842,4,2,2999
0.05,0.0396039603960396,0.0396039603960396,0,101,101,4.75472294463744,4.77022628561842,4,2,2999
0.1,0.099009900990099,0.099009900990099,0.0198019801980198,101,101,4.75472294463744,4.77022628561842,4,2,2999
0.01,0,0,0.0087719298245614,114,114,4.11046382578472,3.66821896616156,4,3,2004
0.05,0.0263157894736842,0.0263157894736842,0.0263157894736842,114,114,4.11046382578472,3.66821896616156,4,3,2004
0.1,0.0526315789473684,0.0526315789473684,0.087719298245614,114,114,4.11046382578472,3.66821896616156,4,3,2004
0.01,0.0714285714285714,0.0714285714285714,0,70,70,5.12027040858003,4.63513270866697,4,3,2334
