"replicate","generation","k","subset","n_poly_global","n_poly_pop","He","sumAe_total","sumAe_within","ok","n_edges","mean_delta","mean_abs_delta"
1,2504,2,1,2,1.32,0.17389,2.94568687241673,2.594993693529,1,44,0.0369837031485028,0.13596153951509
1,2504,2,2,2,1.04,0.150275,2.56360756180574,2.51027233032942,1,31,-0.103118082938738,0.207030623089967
1,2504,2,3,2,1.56,0.272031,3.58141861006877,2.96348365275768,1,51,-0.00269131012324754,0.0826878446209564
1,2504,3,1,3,2.4,0.305426,5.34616747948683,4.64974285956766,1,80,-0.00173790220335835,0.0584855505972665
1,2504,3,2,3,2.44,0.282710666666667,5.73373300475344,4.51076278311327,1,60,0.00570093627087367,0.0588293231582494
1,2504,3,3,3,2.64,0.255900666666667,4.59839463050302,4.30467135316045,1,70,-0.00198936411418716,0.0616459200261624
1,2504,4,1,4,3.2,0.2299095,5.95834758985569,5.53082153211777,1,83,-0.00976468880210699,0.0493515270429477
1,2504,4,2,4,3.64,0.2822905,7.11174924108211,5.9689548209882,1,83,0.0055367072923298,0.0458299120083265
1,2504,4,3,4,3.08,0.243755,6.54303503801701,5.68387811630494,1,88,-0.00663613313478764,0.0427982466434169
1,2504,5,1,5,4.08,0.2554228,8.23304660772697,7.18383086052169,1,79,-0.00275398522277892,0.0448371834888689
1,2504,5,2,5,3.72,0.2162592,7.9978112007589,6.85044687987244,1,90,0.00635828318873947,0.0433684062131096
1,2504,5,3,5,4.04,0.2525728,8.39961997684952,7.14853961828245,1,96,0.00668912875592215,0.0400162334746909
1,2504,6,1,6,4.2,0.216628333333333,9.47569807406894,8.21678697654302,1,91,0.00299806394096254,0.0383079741600242
1,2504,6,2,6,3.84,0.212197333333333,9.50284329564641,8.22756405874087,1,78,0.00329799697430364,0.0465033244185656
1,2504,6,3,6,4.32,0.236256333333333,9.1755920923386,8.45911126028556,1,105,-0.00418150210445033,0.0352482825884824
1,2504,8,1,8,5.8,0.233386,12.5827616971895,11.2377484847799,1,104,0.00510400721226993,0.0416121946387324
1,2504,8,2,8,6.28,0.2673495,13.5923195913695,11.7549590099856,1,107,0.00261992420358918,0.0296500362716639
1,2504,8,3,8,6.48,0.28796325,13.3042382591883,12.0201318271228,1,124,0.0037181826178142,0.0329193921892812
1,2504,10,1,10,7.6,0.2384998,15.4682718049779,14.090363671333,1,120,0.0088752932590254,0.026407951684243
1,2504,10,2,10,7.2,0.2382294,16.2145063526794,14.1497797194966,1,103,-0.00345075338162455,0.0300129228518504
