"replicate","phase","generation","n_edges","diameter","mean_delta","mean_abs_delta"
1,"burnin",0,198,1.20310932121466,-0.00281163532960574,0.00851228029230583
1,"burnin",4,208,2.69621710236397,-0.00334763621058744,0.00810803898533894
1,"burnin",9,197,3.79968765803866,-0.00392577174691632,0.00953245182272342
1,"burnin",14,197,4.20514817169737,-0.00143919426552158,0.010023634315394
1,"burnin",19,196,4.67344307486685,-0.00161515430062579,0.00817835469438743
1,"burnin",24,205,5.09393421783283,-0.00174307083084652,0.00869187248510122
1,"burnin",29,201,5.41581068549312,-0.00140498587233265,0.00780016044424481
1,"burnin",34,196,6.03863347202122,-0.00435437938635152,0.0144995329401903
1,"burnin",39,176,5.80292326422609,-0.00115328738312159,0.00951979035259172
1,"burnin",44,184,5.95069391146327,-0.00356666096947071,0.0104834356917351
1,"burnin",49,182,6.2647008789884,0.00237566690795748,0.0126615049288431
1,"burnin",54,174,6.38373560571868,-0.000529289314876633,0.0114912111705261
1,"burnin",59,182,6.44769869342563,-0.00173174480133059,0.011848368986057
1,"burnin",64,188,6.91868604073854,-0.000983523845439323,0.0106173358683276
1,"burnin",69,161,6.63177104316499,0.00334564509602682,0.0174786902330268
1,"burnin",74,186,6.98103594041675,0.00142796563451702,0.0122268631676594
1,"burnin",79,182,6.80854143198126,0.00383659842867554,0.0154620968950356
1,"burnin",84,169,7.31632728625746,0.00801555449017113,0.0134511399543795
1,"burnin",89,174,7.83669042564581,0.00493754307571093,0.015041777919635
1,"burnin",94,158,8.06049911315918,0.00892308184919454,0.0175239004051042
1,"burnin",99,155,7.95508069020194,0.00981486235389968,0.0170167068203132
1,"burnin",104,160,8.57311453550344,0.00590191400451422,0.0158161076849862
1,"burnin",109,141,9.10445430496511,0.0042878134840035,0.0196625462741437
1,"burnin",114,147,8.96169935422853,0.000316533455125965,0.0139161755985693
1,"burnin",119,132,9.11839281036836,0.00130302440572097,0.0186436584402001
1,"burnin",124,156,8.9786756953934,0.00507665200341491,0.0156773586252298
1,"burnin",129,146,8.52786509915829,0.00383791114728239,0.0177867660005104
1,"burnin",134,146,9.08423557333218,0.00577055334978047,0.0252870789303374
1,"burnin",139,144,9.40932609674993,0.00135655869865813,0.0187906994193311
1,"burnin",144,141,9.91023989396656,0.00589966597735874,0.0225235811329545
1,"burnin",149,148,9.14760636476674,0.00381313779723036,0.0190852901860473
1,"burnin",154,146,8.78424823722296,0.00261367221083884,0.0218829176139171
1,"burnin",159,142,9.63806287857304,0.00109561971290874,0.0247179581288458
1,"burnin",164,162,9.47787676091256,0.00471098641743722,0.0173851527545178
1,"burnin",169,146,9.58169277609925,0.00649306344505896,0.0211292282850508
1,"burnin",174,141,9.29734019780506,0.000552899113076932,0.0202033910840957
1,"burnin",179,137,9.20130634640034,0.00615723588107281,0.0168138848716304
1,"burnin",184,137,10.7451181153118,0.00513161825622507,0.0209471055578806
1,"burnin",189,146,10.3685460668807,0.00407478949070637,0.0176320946612262
1,"burnin",194,139,9.98159415243356,-0.0013517360923851,0.0230538976435738
1,"burnin",199,138,10.861308175759,0.00278084232411645,0.0267617532448648
1,"burnin",204,130,11.2458484662124,0.00517387594158127,0.0261558981840538
1,"burnin",209,127,12.1138567898346,0.0034549931791612,0.0309135872109648
1,"burnin",214,129,12.7683182572706,0.00128380419361992,0.025318816143868
1,"burnin",219,134,13.289878166607,0.00997469148464115,0.0309809601732527
1,"burnin",224,129,12.9636436240705,0.0103400917485615,0.0248701719290027
1,"burnin",229,142,12.457814983267,0.00476937239662628,0.0228627735485561
1,"burnin",234,123,11.6554571095344,0.00875380727932333,0.0236745536286925
1,"burnin",239,128,12.3853526946137,0.00579407632556036,0.0249129293385491
1,"burnin",244,127,11.5021573919693,0.00199491763766261,0.0270955123600503
1,"burnin",249,141,10.855471641599,0.00568217314318544,0.0179519919773362
1,"burnin",254,132,10.8654487092883,0.0016323041119526,0.0195129007643791
1,"burnin",259,133,11.7769758209296,0.00846703706369328,0.0222996171551822
1,"burnin",264,125,11.223434152701,0.00470579991285222,0.0266370338616038
1,"burnin",269,131,11.692662408501,-0.00354856048942638,0.0271608485327456
1,"burnin",274,118,11.2122315440405,0.00199905762953342,0.0290282919906698
1,"burnin",279,129,11.3349247854412,-0.00204138278208378,0.0274147633494109
1,"burnin",284,139,10.2559285923029,-0.000832235600458415,0.0242281216025571
1,"burnin",289,146,10.7764105070147,0.00202198655575518,0.0237648943305674
1,"burnin",294,147,9.81403921376377,0.000457549589869006,0.0177798455845204
1,"burnin",299,134,11.0313446840438,-0.00133203184200218,0.0241051134039233
1,"burnin",304,132,10.0202601326385,0.000286434520862909,0.0188175728990256
1,"burnin",309,130,11.5402314689296,-0.000756558644926726,0.0200579763245076
1,"burnin",314,113,11.2830179559241,-0.00138716714867958,0.0354236206696747
1,"burnin",319,135,10.5162603491223,-0.000113694322602908,0.0251701413611742
1,"burnin",324,130,11.2691006896172,0.002780461329678,0.0265996740304247
1,"burnin",329,140,11.1264398012113,-0.000996917534529215,0.0222316660853652
1,"burnin",334,131,11.368761384302,0.00163246963496715,0.0271070559038214
1,"burnin",339,146,9.69028884589652,-0.000301788989293651,0.0188754479255684
1,"burnin",344,138,10.4701003402699,0.000149353647919455,0.0214144908988048
1,"burnin",349,119,11.3290445577455,0.00148525398405999,0.0283078602098963
1,"burnin",354,132,11.3695633026921,-0.0015140052252708,0.0243594606155056
1,"burnin",359,125,11.3019712085558,-0.00254420214852317,0.0225246139408802
1,"burnin",364,128,10.6120490267434,-0.000362544443368376,0.0152088504754903
1,"burnin",369,128,11.61427411151,-0.004298524623035,0.0224069514437409
1,"burnin",374,134,12.6118869283137,-0.000869678451705845,0.0252506448709123
1,"burnin",379,120,12.25062927051,-0.00514383329401245,0.025716455371927
1,"burnin",384,135,10.633870041186,-0.000608165710919857,0.0174677488816925
1,"burnin",389,119,12.3758964958344,0.00279627728351229,0.0276711927736485
1,"burnin",394,117,11.3888845109492,-0.000792956884561232,0.0268800690509962
1,"burnin",399,132,10.5545540977731,-0.00543102655535423,0.0188603648220103
1,"burnin",404,125,11.1888287066566,0.00103192754986731,0.0214243919198251
1,"burnin",409,122,11.6646904371003,-0.00256081521885291,0.022223179177501
1,"burnin",414,132,11.1498087102143,-0.000279944808922573,0.0251466545927724
1,"burnin",419,128,10.2746945723277,0.000915507023231189,0.0245139950513416
1,"burnin",424,132,10.8093564902176,-0.0018014391063682,0.0234808532332051
1,"burnin",429,113,10.8300809570012,-0.00423099505240203,0.0249194465793874
1,"burnin",434,126,10.241041115721,-0.00864925255874916,0.0248260406875396
1,"burnin",439,136,10.1612620167543,-0.00126986617397399,0.0207625734950797
1,"burnin",444,129,10.3336990032027,0.00232131774578195,0.0236187512318661
1,"burnin",449,130,10.8435743376725,0.00204789214323876,0.0208925207875148
1,"burnin",454,125,11.3476233887672,0.000249812508255079,0.0200905751497397
1,"burnin",459,149,9.95293776071681,0.00628088406148148,0.0220242495852398
1,"burnin",464,136,10.4513007683184,0.00412515644391352,0.0255874418540506
1,"burnin",469,116,11.422398476414,0.00345558915309634,0.0263580016414139
1,"burnin",474,121,10.8798629302778,0.00152700435928542,0.0274048137776298
1,"burnin",479,123,10.8356436538564,-0.00128895015813967,0.0254111477241228
1,"burnin",484,132,10.9882618342555,0.0038356632704326,0.0208111247188454
1,"burnin",489,143,10.7140006899764,0.00291298279439411,0.0173266505326583
1,"burnin",494,139,10.1816330030739,0.00221859253989419,0.0212266196387393
1,"burnin",499,129,11.0099129370036,-0.00155986571132569,0.0237142971026504
1,"burnin",504,127,11.2827781439427,0.00483340502712283,0.0260883884694523
1,"burnin",509,133,11.5769386712802,0.00496996008237667,0.0265666421340258
1,"burnin",514,138,10.8562671794728,0.00142914451151628,0.0234412626463741
1,"burnin",519,126,11.76484360837,0.00257262412098024,0.0249807691945035
1,"burnin",524,126,12.9129294283912,0.00717900074457661,0.0286612231889349
1,"burnin",529,124,11.8133124144526,0.00284439376363391,0.0251476834615179
1,"burnin",534,125,11.896211547864,0.00637910421864601,0.0188499491624455
1,"burnin",539,139,11.485962550905,0.00209850048741603,0.0215757002845521
1,"burnin",544,128,11.7770465517843,-0.000364530565163835,0.0200921499939091
1,"burnin",549,126,11.4858751447983,0.00117249352175246,0.0239550936111015
1,"burnin",554,121,12.3787363714307,-0.00489309401517144,0.0212049558955941
1,"burnin",559,133,11.7587705000297,-0.00275979430237764,0.0225708162567017
1,"burnin",564,121,12.020978901899,0.00589984894019843,0.0203549837569614
1,"burnin",569,122,11.0816180763001,0.00626624593951946,0.0177933722560511
1,"burnin",574,119,11.6601140779642,0.00385239565743395,0.0281745234320633
